63Hz,160Hz,400Hz,1kHz,2.5kHz,6.2kHz,16kHz,thresh,sum,isOn 
 395, 413, 404, 462, 356, 401, 309,1043, 2740,0
 372, 356, 360, 498, 370, 386, 370,1044, 2712,0
 386, 361, 375, 442, 336, 402, 384,1045, 2686,0
 370, 374, 372, 441, 362, 393, 379,1043, 2691,0
 387, 392, 398, 438, 335, 355, 366,1044, 2671,0
 381, 376, 375, 416, 343, 363, 371,1042, 2625,0
 383, 367, 361, 344, 816, 370, 345,1044, 2986,0
 390, 398, 381, 419, 339, 399, 380,1044, 2706,0
 373, 340, 310, 405, 364, 417, 361,1044, 2570,0
 392, 384, 395, 479, 334, 374, 338,1043, 2696,0
 371, 393, 389, 536, 351, 391, 368,1043, 2799,0
 383, 379, 390, 481, 362, 408, 352,1046, 2755,0
 373, 358, 406, 474, 383, 385, 370,1043, 2749,0
 391, 389, 364, 442, 343, 350, 346,1043, 2625,0
 382, 360, 371, 411, 369, 394, 386,1044, 2673,0
 391, 376, 375, 380, 368, 374, 357,1044, 2621,0
 387, 380, 360, 459, 360, 404, 373,1044, 2723,0
 380, 439, 595,1005,3928,2889,2368,1045,11604,1
 418, 549, 724,1803,3251,2401,1657,1044,10803,1
 378, 469, 621,1504,2690,2006,1188,1043, 8856,1
 374, 506, 606,1586,2244,1672, 842,1044, 7830,1
 372, 583,1299,2433,1886,1430, 723,1043, 8726,1
 275, 618,1453,2022,1566,1185, 669,1044, 7788,1
 447,1143,2975,1701,1342,1042, 690,1045, 9340,1
 209, 980,2550,1404,1085, 870, 815,1043, 7913,1
 833,1601,2138,1212, 969, 761, 747,1043, 8261,1
 608,1562,1759, 979, 821, 815, 721,1044, 7265,0
 309,1282,1494, 883, 721, 709, 785,1045, 6183,0
 718,3486,1215, 760, 626, 875, 687,1044, 8367,1
1401,3121,1080, 668, 553, 746, 823,1044, 8392,1
1119,2542, 903, 569, 535, 705, 690,1044, 7063,0
 729,2760, 786, 518, 555, 785, 687,1043, 6820,0
 399,3119, 949, 553, 751,1049, 771,1044, 7591,1
 588,2610, 818, 510, 629, 858, 784,1044, 6797,0
1568,2157, 705, 466, 573, 817, 908,1043, 7194,0
1491,1818, 610, 403, 621, 758, 952,1044, 6653,0
1188,1522, 549, 393, 583, 927,1037,1044, 6199,0
 774,1278, 497, 492, 864,1036, 864,1043, 5805,0
 455,1608, 563, 479, 680, 899, 791,1044, 5475,0
 210,1546, 572, 546, 719, 866, 725,1044, 5184,0
1554,1323, 541, 591, 638, 745, 850,1041, 6242,0
2473,1068, 463, 519, 596, 725, 657,1044, 6501,0
2177, 961, 430, 466, 523, 782, 836,1044, 6175,0
1525, 804, 382, 577, 550, 692, 642,1042, 5172,0
1049, 713, 351, 628, 716, 844,1466,1045, 5767,0
 656, 624, 457, 615, 639, 908, 650,1044, 4549,0
 365, 858, 581, 614, 582,1078, 622,1043, 4700,0
 886, 889, 614, 676, 732,1025, 810,1043, 5632,0
2689, 747, 539, 539, 697, 880, 811,1047, 6902,0
3398, 669, 514, 520, 609, 815, 778,1042, 7303,1
3024, 632, 436, 576, 763, 765, 923,1043, 7119,0
2215, 590, 410, 635, 674, 765, 680,1042, 5969,0
1551, 542, 360, 555, 595, 981, 932,1043, 5516,0
1073, 597, 389, 484, 499, 805, 841,1043, 4688,0
 668, 529, 460, 594, 836, 941, 700,1043, 4728,0
 373,1058, 522, 546, 672, 798, 691,1041, 4660,0
2735,1130, 587, 522, 684, 994, 762,1043, 7414,1
4016, 944, 533, 706, 580, 844, 640,1042, 8263,1
3651, 839, 562, 718, 837, 773, 785,1044, 8165,1
3093, 887, 478, 612, 715, 811, 900,1042, 7496,1
2268, 808, 462, 549, 625, 982, 782,1044, 6476,0
1591, 679, 393, 489, 559,1029, 695,1043, 5435,0
1100, 707, 427, 531, 535, 857, 732,1043, 4889,0
 692, 740, 386, 474, 568, 877, 699,1043, 4436,0
 392, 646, 428, 540, 540, 740, 716,1044, 4002,0
2474,1172, 562, 541, 618, 922, 811,1049, 7100,0
3685,1200, 638, 613, 717, 928, 911,1044, 8692,1
3338, 979, 581, 727, 629, 916, 777,1044, 7947,1
2910, 842, 551, 635, 556, 796, 815,1044, 7105,0
2122, 937, 494, 610, 766, 747, 682,1042, 6358,0
1481, 793, 435, 536, 671, 866, 886,1043, 5668,0
1013, 697, 399, 667, 642,1131, 804,1044, 5353,0
 620, 604, 440, 672, 621, 994, 650,1045, 4601,0
 344, 593, 448, 601, 568, 855, 714,1045, 4123,0
1082, 524, 417, 549, 761, 938, 658,1044, 4929,0
2047, 927, 554, 602, 952, 795, 658,1044, 6535,0
2356,1085, 561, 717, 831, 861, 679,1043, 7090,0
2031, 930, 592, 678, 723, 931, 723,1044, 6608,0
1671, 801, 514, 585, 911, 802, 665,1044, 5949,0
1131, 747, 457, 583, 781, 706, 742,1043, 5147,0
 737, 766, 409, 628, 674, 990, 614,1044, 4818,0
 413, 668, 379, 566, 608, 881, 647,1043, 4162,0
 180, 579, 334, 757, 531, 948, 563,1043, 3892,0
  21, 525, 416, 682, 681, 835, 778,1043, 3938,0
 163, 454, 346, 624, 686,1082, 626,1044, 3981,0
 710, 423, 457, 596, 756, 936, 821,1043, 4699,0
1208, 966, 698, 634, 942, 798, 824,1044, 6070,0
1587,1008, 506, 901, 817, 843, 757,1043, 6419,0
1631, 848, 584, 769, 708, 885, 590,1043, 6015,0
1371, 747, 524, 672, 784, 742, 563,1043, 5403,0
 899, 644, 530, 663, 827, 736, 714,1040, 5013,0
 569, 648, 465, 571, 693, 876, 651,1043, 4473,0
 277, 569, 430, 566, 634, 864, 656,1044, 3996,0
  90, 505, 369, 726, 615, 797, 677,1045, 3779,0
   1, 458, 450, 671, 568, 737, 733,1043, 3618,0
   0, 416, 411, 686, 630, 807, 598,1042, 3548,0
 640, 378, 501, 653, 601, 806, 547,1044, 4126,0
1355, 876, 548, 954, 527,1011, 533,1044, 5804,0
1862, 969, 503, 827, 696, 861, 499,1043, 6217,0
1876, 818, 575, 716, 615, 865, 651,1044, 6116,0
1594, 715, 513, 686, 719, 871,1172,1045, 6270,0
1076, 633, 527, 643, 648, 867, 520,1044, 4914,0
 696, 647, 454, 577, 639, 835, 564,1044, 4412,0
 381, 569, 422, 646, 698, 721, 644,1045, 4081,0
 156, 501, 355, 510, 596, 776, 594,1044, 3488,0
  14, 460, 480, 504, 587, 674, 572,1044, 3291,0
   9, 385, 418, 590, 837, 626, 702,1044, 3567,0
 711, 378, 400, 622, 726, 687, 646,1044, 4170,0
1253, 773, 506, 544, 637, 779, 641,1044, 5133,0
1668, 955, 507, 487, 658, 866, 544,1042, 5685,0
1695, 807, 561, 730, 669, 783, 572,1043, 5817,0
1436, 710, 489, 621, 618, 686, 508,1047, 5068,0
 950, 620, 527, 655, 673, 853, 577,1043, 4855,0
 594, 591, 454, 547, 584, 725, 489,1044, 3984,0
 310, 530, 429, 518, 559, 700, 554,1044, 3600,0
 101, 466, 356, 409, 539, 747, 513,1048, 3131,0
   2, 435, 482, 633, 595, 884, 508,1043, 3539,0
   0, 417, 500, 716, 648, 766, 557,1043, 3604,0
 448, 450, 458, 628, 573, 732, 465,1042, 3754,0
 967, 476, 492, 625, 578, 839, 528,1040, 4505,0
1457,1041, 596, 660, 679, 774, 519,1043, 5726,0
1647,1039, 583, 661, 648, 727, 556,1042, 5861,0
1466, 892, 625, 693, 590, 749, 575,1043, 5590,0
1178, 771, 564, 665, 629, 816, 536,1042, 5159,0
 769, 710, 474, 527, 542, 696, 592,1043, 4310,0
 456, 687, 450, 518, 557, 613, 613,1042, 3894,0
 204, 568, 957, 457, 813, 819, 476,1044, 4294,0
  28, 518, 369, 615, 710, 890, 567,1044, 3697,0
   0, 461, 484, 695, 792, 777, 552,1043, 3761,0
 146, 428, 440, 703, 676, 867, 445,1043, 3705,0
 723, 376, 510, 772, 897, 825, 500,1044, 4603,0
1287,1006, 514, 651, 745, 672, 471,1044, 5346,0
1658,1039, 544, 592, 682, 904, 445,1044, 5864,0
1708, 875, 556, 476, 626, 828, 477,1044, 5546,0
1426, 781, 599, 604, 690, 802, 506,1043, 5408,0
 945, 644,1460,2696,1029, 929, 559,1045, 8262,1
 595, 710,1205,2672,2494,3047, 853,1044,11576,1
 302, 613,1314,2608,2083,2546, 659,1045,10125,1
 108, 682,1229,2862,1733,2113, 508,1044, 9235,1
   1, 580,1047,2390,1476,1788, 530,1044, 7812,1
 550, 559,1145,1984,1225,1473, 492,1041, 7428,1
 885, 559, 981,1681,1067,1278, 469,1044, 6920,0
1027, 491, 906,1387, 866,1073, 518,1042, 6268,0
 989, 858, 794,1201, 797, 935, 524,1044, 6098,0
1058, 920, 756, 961, 667, 797, 467,1043, 5626,0
 947, 807, 688, 881, 604, 698, 542,1043, 5167,0
 682, 658, 672, 778, 520, 693, 563,1044, 4566,0
 437, 764, 750, 688, 574, 647, 525,1044, 4385,0
 180, 648, 646, 601, 512, 620, 498,1039, 3705,0
  32, 585, 569, 526, 453, 605, 430,1043, 3200,0
   1, 502, 591, 478, 425, 657, 427,1043, 3081,0
   0, 538, 685, 455, 546, 800, 515,1044, 3539,0
   1, 493, 646, 534, 509, 734, 475,1044, 3392,0
 433, 434, 814, 469,1109, 777, 481,1043, 4517,0
1109, 982, 728, 571, 528, 722, 477,1044, 5117,0
1705, 986, 910, 494, 517, 732, 587,1043, 5931,0
1886, 879, 930, 644, 593, 861, 493,1043, 6286,0
1576, 745, 989, 561, 529, 761, 454,1037, 5615,0
1080, 674, 852, 530, 569, 704, 873,1044, 5282,0
 681, 654, 744, 524, 576, 691, 469,1044, 4339,0
 386, 577, 627, 430, 493, 865, 566,1043, 3944,0
 156, 521, 570, 577, 742, 841, 441,1043, 3848,0
  12, 443, 453, 543, 633, 723, 513,1044, 3320,0
   4, 500, 459, 641, 564, 766, 486,1043, 3420,0
 623, 424, 521, 670, 501, 810, 555,1044, 4104,0
1182, 751, 609, 646, 619, 868, 517,1044, 5192,0
1542, 985, 720, 707, 562, 899, 487,1044, 5902,0
1652, 951, 724, 596, 469, 817, 465,1044, 5674,0
1370, 821, 701, 548, 455, 755, 464,1043, 5114,0
 987, 702, 802, 805, 527, 833, 476,1045, 5132,0
